"gram","mon_freq","chn_freq"
"fuc",0,0.000127585375880694
"fud",0,3.47960116038255e-05
"fue",0,5.15496468204822e-06
"fuf",0,7.73244702307233e-06
"fug",0,5.28383879909943e-05
"fuh",0,1.80423763871688e-05
"fuj",0,0.000199754881429369
"fuk",0,5.15496468204822e-06
"ful",0,8.89231407653318e-05
"fum",0,3.60847527743376e-05
"fup",0,1.15986705346085e-05
"fuq",0,2.19085998987049e-05
"fus",0,6.70145408666269e-05
"fut",0,6.05708350140666e-05
"fuw",0,2.57748234102411e-05
"fux",0,2.44860822397291e-05
"fuy",0,7.86132114012354e-05
"fuz",0,0.000186867469724248
"g j",0,2.57748234102411e-06
"g q",0,1.28874117051206e-06
"g x",0,1.03099293640964e-05
"gao",0.000131963116308992,0.00233391025979733
"gau",0,2.57748234102411e-06
"gb ",0,6.44370585256028e-06
"gba",0,0.00042012962158693
"gbe",0,0.000230684669521658
"gbi",0,0.000118564187687109
"gbo",0,2.96410469217773e-05
"gbu",1.6495389538624e-05,0.000114697964175573
"gca",0,0.000278368092830604
"gce",0,6.44370585256028e-06
"gch",0.000197944674463487,0.00119079684155314
"gci",0,1.93311175576808e-05
"gco",0,3.86622351153617e-06
"gcu",0,0.0057722717027235
"gd ",3.29907790772479e-05,3.35072704333134e-05
"gda",4.94861686158719e-05,0.000474256750748436
"gde",1.6495389538624e-05,3.35072704333134e-05
"gdi",3.29907790772479e-05,0.000684321561541902
"gdo",3.29907790772479e-05,0.000356981304231839
"gdu",1.6495389538624e-05,0.00014433901109735
"gea",0,6.44370585256028e-06
"gec",0,6.18595761845787e-05
"ged",4.94861686158719e-05,0.000268058163466508
"gef",0,3.86622351153617e-06
"gej",0,8.11906937422595e-05
"gek",0,6.44370585256028e-06
"gem",0,1.03099293640964e-05
"gep",0,3.86622351153617e-06
"geq",0,6.44370585256028e-06
"gew",0,1.03099293640964e-05
"gex",0,9.02118819358439e-06
"gey",1.6495389538624e-05,2.96410469217773e-05
"gez",6.59815581544958e-05,0.00100135188948787
"gf ",0,7.73244702307233e-06
"gfa",0,0.000390488574665153
"gfe",1.6495389538624e-05,0.00032605151613955
"gfo",0,2.06198587281929e-05
"gfu",0,0.000134029081733254
"gg ",0,1.15986705346085e-05
"gga",0,0.000663701702813709
"gge",0,0.000400798504029249
