"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification date"
2029403,"Shabagatayn Hudag","Shabagatayn Hudag","Kolodets Shabagtaiin khuduk,Shabagatayn Hudag,Shabagtayn Khuduk Well",45.36667,104.53333,"H","WLL","MN","MN",8,NA,NA,NA,0,NA,1330,"Asia/Ulaanbaatar","2012-01-17"
2029404,"Shabagaiin Hudag","Shabagaiin Hudag","Kolodets Shabagyyn khuduk,Shabagaiin Hudag,Shabagoyn Khuduk Well,Shabagöyn Khuduk Well",43.71667,108.63333,"H","WLL","MN","MN",7,NA,NA,NA,0,NA,866,"Asia/Ulaanbaatar","2012-01-17"
2029405,"Sha-p’a-yin-hai-erh","Sha-p'a-yin-hai-erh","Sha-p'a-yin-hai-erh,Sha-p’a-yin-hai-erh,Shaalin Uul,Shaalïn Uul",46.75,118.81667,"T","HLL","MN","CN",0,NA,NA,NA,0,NA,925,"Asia/Choibalsan","2014-03-06"
2029406,"Wu-lan-ao-pao","Wu-lan-ao-pao","Shaadzant,Wu-lan-ao-pao",45.21667,114.45,"T","MT","MN","CN",0,NA,NA,NA,0,NA,1492,"Asia/Choibalsan","2014-03-06"
2029407,"Shaadzan Nuur","Shaadzan Nuur","Ozero Shatszan nur,Shaadzan Nuur",44.73333,107.86667,"H","LK","MN","MN",7,NA,NA,NA,0,NA,1054,"Asia/Ulaanbaatar","2012-01-17"
2029408,"Shaadzangiin Hudag","Shaadzangiin Hudag","Kolodets Shadzangiyn khuduk,Kolodets Shadzangyyn khuduk,Shaadzangiin Hudag,Shadzangoyn Khuduk Well,Shadzangöyn Khuduk Well",46.46667,115.45,"H","WLL","MN","MN",17,NA,NA,NA,0,NA,803,"Asia/Choibalsan","2012-01-17"
2029409,"Sevrey Uul","Sevrey Uul","Gora Seberey ula,Gora Sivre,Seberey Uula,Sevrey Uul,Sewrei Uul",43.615,102.02833,"T","MT","MN","MN",14,NA,NA,NA,0,NA,2315,"Asia/Ulaanbaatar","2012-01-17"
2029410,"Sevhüüliyn Tsagaan Eregiyn Hooloy","Sevhuuliyn Tsagaan Eregiyn Hooloy","Se-hu-lin-ch'a-kan-o-jih-ken-hao-lai,Se-hu-lin-ch’a-kan-o-jih-ken-hao-lai,Sevhuuliyn Tsagaan Eregiyn Hooloy,Sevhüüliyn Tsagaan Eregiyn Hooloy",42.63333,109.8,"T","DPR","MN","MN",7,NA,NA,NA,0,NA,1099,"Asia/Ulaanbaatar","2012-01-17"
2029411,"Se-pu-hu-lin-hu-erh","Se-pu-hu-lin-hu-erh","Se-pu-hu-lin-hu-erh,Sevhuuliyn Hur,Sevhüüliyn Hür",43.83333,111.93333,"R","TRL","MN","",7,NA,NA,NA,0,NA,969,"Asia/Ulaanbaatar","2012-01-17"
2029412,"Sevhüüliyn Hoyor Ovoo","Sevhuuliyn Hoyor Ovoo","Se-hu-lin-hao-yao-erh-ao-pao,Sevhuuliyn Hoyor Ovoo,Sevhüüliyn Hoyor Ovoo",42.61667,109.81667,"S","CARN","MN","MN",7,NA,NA,NA,0,NA,1118,"Asia/Ulaanbaatar","2012-01-17"
