"gram","mon_freq","chn_freq"
"akk",3.29907790772479e-05,0
"al ",0.000593834023390462,2.96410469217773e-05
"ala",0.00448674595450572,0.000234550893033194
"alb",0.000280421622156607,0
"alc",9.89723372317437e-05,0
"ald",0.000148458505847616,0
"ale",0.000214440064002111,3.22185292628014e-05
"alg",0.000412384738465599,0
"alh",0.000379393959388351,0
"alj",0.000148458505847616,0
"alk",3.29907790772479e-05,0
"all",3.29907790772479e-05,2.57748234102411e-06
"alm",4.94861686158719e-05,0
"alq",4.94861686158719e-05,0
"als",0.00016495389538624,1.28874117051206e-06
"alt",0.00120416343631955,1.28874117051206e-06
"alv",1.6495389538624e-05,0
"aly",8.24769476931198e-05,0
"alz",0.000296917011695231,0
"am ",0.000115467726770368,1.03099293640964e-05
"ama",0.0016495389538624,0.000454925633190756
"amb",0.000346403180311103,1.28874117051206e-06
"amc",6.59815581544958e-05,0
"amd",1.6495389538624e-05,0
"amh",3.29907790772479e-05,0
"ami",0.000692806360622206,0.000322185292628014
"amj",3.29907790772479e-05,0
"amn",6.59815581544958e-05,0
"amp",1.6495389538624e-05,2.57748234102411e-06
"amr",1.6495389538624e-05,0
"ams",0.000115467726770368,0
"amt",0.000131963116308992,0
"amu",8.24769476931198e-05,5.15496468204822e-05
"amy",1.6495389538624e-05,0
"amz",1.6495389538624e-05,0
"an ",0.0024083268726391,0.00103485915992118
"ana",0.000593834023390462,0.000311875363263917
"and",0.00216089602955974,0.00160834898079905
"ani",0.000428880128004223,9.92330701294283e-05
"ann",0.000263926232617983,0.000229395928351146
"ano",0.000428880128004223,7.73244702307233e-06
"ant",0.00258977615756396,0.00171789198029257
"anu",0.000577338633851838,5.15496468204822e-06
"aoe",0.00054434785477459,0.000136606564074278
"aop",0.000956732593240189,0.000618595761845787
"apg",1.6495389538624e-05,0
"apt",1.6495389538624e-05,0
"apu",0.000181449284924863,2.44860822397291e-05
"aq ",3.29907790772479e-05,1.28874117051206e-06
"aqa",0.000395889348926975,0
"ar ",0.00260627154710258,3.09297880922893e-05
"ara",0.00263926232617983,5.15496468204822e-06
"arb",0.000181449284924863,1.28874117051206e-06
"arc",8.24769476931198e-05,0
"ard",0.000148458505847616,2.44860822397291e-05
"arg",0.00232584992494598,0
"arh",0.00079177869785395,0
"ari",0.0019959421341735,3.86622351153617e-06
"arj",4.94861686158719e-05,0
"ark",8.24769476931198e-05,1.28874117051206e-06
"arl",9.89723372317437e-05,1.28874117051206e-06
"arm",4.94861686158719e-05,0
"arn",4.94861686158719e-05,0
"aro",1.6495389538624e-05,6.44370585256028e-06
"arq",0.000214440064002111,0
"ars",0.000428880128004223,2.57748234102411e-06
"art",0.00054434785477459,2.57748234102411e-06
"aru",0.00204542830278937,1.03099293640964e-05
"arv",0.000247430843079359,1.28874117051206e-06
"ary",0.000197944674463487,0
"arz",6.59815581544958e-05,0
"as ",0.000428880128004223,5.79933526730425e-05
"asa",0.00131963116308992,4.51059409679219e-05
"ase",3.29907790772479e-05,9.02118819358439e-06
"asg",0.000214440064002111,0
"ash",0.00258977615756396,0.00222178977796278
"ask",3.29907790772479e-05,0
